"id","decision","strand","year","authors_or_body","title","source","doi_or_url","evidence_role","critical_limit_for_ARCCRAFT","metadata_status"
"L014","include","frequency-severity modelling","2015","Shi, Feng and Ivantsova","Dependent Frequency-Severity Modeling of Insurance Claims","Insurance: Mathematics and Economics","https://www.sciencedirect.com/science/article/pii/S0167668715001183","Hurdle/copula approaches and explicit out-of-sample portfolio-risk evaluation","Cross-sectional insurance-claims focus","verified-title-pages-partial-doi"
"L015","include","frequency-severity modelling","2019","Lee and Shi","A Dependent Frequency-Severity Approach to Modeling Longitudinal Insurance Claims","Insurance: Mathematics and Economics","10.1016/j.insmatheco.2019.04.004","Longitudinal dependence and predictive-distribution benchmark for multi-period claims","Portfolio-specific model rather than general stress-test orchestration","verified"
"L016","include","frequency-severity modelling","2020","Jeong and Valdez","Predictive Compound Risk Models with Dependence","Insurance: Mathematics and Economics","10.1016/j.insmatheco.2020.07.011","Longitudinal dependent compound-risk prediction and credibility premium","Does not address world validation, replay or failure attribution","verified"
"L017","include","frequency-severity modelling","2016","Frees, Lee and Yang","Multivariate Frequency-Severity Regression Models in Insurance","Risks","10.3390/risks4010004","Synthesizes multivariate dependence methods and insurance applications","Broad modelling review; no stress architecture validation","verified"
"L018","include","frequency-severity modelling","2023","Gao and Li","Dependence Modeling of Frequency-Severity of Insurance Claims Using Waiting Time","Insurance: Mathematics and Economics","10.1016/j.insmatheco.2022.12.006","Alternative dependence construction and predictive Monte Carlo aggregation","Narrow process assumptions; no procedural scenario engine","verified"
"L019","include","frequency-severity modelling","2022","Vernic, Bolance and Alemany","Sarmanov Distribution for Modeling Dependence Between the Frequency and the Average Severity of Insurance Claims","Insurance: Mathematics and Economics","https://www.sciencedirect.com/science/article/pii/S0167668721001748","Additional tractable dependence benchmark for aggregate claims","Limited dependence family and cross-sectional emphasis","verified-title-partial-doi"
"L020","include","non-life ratemaking","2014","Klein, Denuit, Lang and Kneib","Nonlife Ratemaking and Risk Management with Bayesian Generalized Additive Models for Location, Scale, and Shape","Insurance: Mathematics and Economics","10.1016/j.insmatheco.2014.02.001","Flexible probabilistic benchmark for frequency, severity and distributional parameters","More complex than the intended transparent baseline and not a stress framework","verified"
"L021","include","claims prediction","2024","Zhang, Ji and Aivaliotis","Bayesian CART Models for Insurance Claims Frequency","Insurance: Mathematics and Economics","10.1016/j.insmatheco.2023.11.005","Modern interpretable nonlinear frequency benchmark using real insurance data","Frequency-only and computationally heavier than a GLM baseline","verified"
"L022","include","tail modelling","2022","Authors to verify","Three-Step Risk Inference in Insurance Ratemaking","Insurance: Mathematics and Economics","10.1016/j.insmatheco.2022.03.005","Semiparametric tail inference and uncertainty quantification for extreme insurance risk","Not a stress-world generator; full author metadata still to verify","verified-title-doi"
"L023","include","claims prediction","2020","Yang, Qian and Zou","Stochastic Gradient Boosting Frequency-Severity Model of Insurance Claims","PLOS ONE","10.1371/journal.pone.0238000","Public-data frequency-severity benchmark and predictive comparison","Machine-learning focus; limited interpretability relative to primary comparator","verified"
"L024","include","claims prediction","2026","Krupova, Rachdi and Guibert","Explainable Boosting Machine for Predicting Claim Severity and Frequency in Car Insurance","European Actuarial Journal","10.1007/s13385-026-00461-y","Current interpretable motor-insurance benchmark with explicit model comparisons","Published after most ARCCRAFT development and not a stress-testing architecture","verified"
"L025","include","actuarial foundations","2012","Klugman, Panjer and Willmot","Loss Models: From Data to Decisions","Wiley","https://www.wiley.com/en-us/Loss+Models%3A+From+Data+to+Decisions%2C+4th+Edition-p-9781118315323","Established collective-risk and loss-distribution foundations","Textbook authority; not direct evidence for ARCCRAFT performance","metadata-to-final-check"
"L026","include","synthetic insurance data","2021","Avanzi, Taylor, Wang and Wong","SynthETIC: An Individual Insurance Claim Simulator with Feature Control","Insurance: Mathematics and Economics","10.1016/j.insmatheco.2021.06.004","Very close precedent for controllable, open, synthetic individual-claim simulation","Claims-development simulator rather than multi-risk failure-testing architecture","verified"
"L027","include","synthetic insurance data","2023","Avanzi, Taylor and Wang","SPLICE: A Synthetic Paid Loss and Incurred Cost Experience Simulator","Annals of Actuarial Science","10.1017/S1748499522000057","Open synthetic claims simulator with continuous-time histories and dependencies","Centred on paid/incurred development, not stress regimes and failure diagnosis","verified"
"L028","include","synthetic insurance data","2018","Gabrielli and Wuthrich","An Individual Claims History Simulation Machine","Risks","10.3390/risks6020029","Open individual-claims simulation calibrated to real insurance data","Development-history generator; lacks ARCCRAFT's proposed validation/replay/failure-atlas combination","verified"
"L029","include","open actuarial models","2026","Wolf, Meyer, Mahler and Diehl","openIRM: Publicly Accessible Internal Risk Model of an Artificial Life Insurer for Analyzing and Benchmarking Actuarial Methods in the Solvency II Setting","European Actuarial Journal","10.1007/s13385-025-00435-6","Strongest current precedent for an open artificial insurer and reproducible benchmarking platform","Life/market-risk and nested-simulation focus; correction notice must be checked","verified"
"L030","include","public actuarial data","2024","Charpentier","CASdatasets: Insurance Datasets","R data package and repository","10.57745/P0KHAG","Documents a standard public actuarial benchmark-data source","A dataset citation does not establish validity of the local motor dataset or transformations","verified"
"L031","include","probabilistic validation","2007","Gneiting and Raftery","Strictly Proper Scoring Rules, Prediction, and Estimation","Journal of the American Statistical Association","10.1198/016214506000001437","Foundational basis for proper probabilistic scoring and honest forecast comparison","General statistical theory; requires outcome-specific implementation","verified"
"L032","include","probabilistic validation","2007","Gneiting, Balabdaoui and Raftery","Probabilistic Forecasts, Calibration and Sharpness","Journal of the Royal Statistical Society Series B","10.1111/j.1467-9868.2007.00587.x","Separates calibration and sharpness for distributional forecasts","Mostly continuous-outcome exposition; count adaptation is needed","verified"
"L033","include","probabilistic validation","2009","Czado, Gneiting and Held","Predictive Model Assessment for Count Data","Biometrics","10.1111/j.1541-0420.2009.01191.x","Proper scores and calibration tools directly relevant to claim counts","Does not address aggregate loss or stress-world validity by itself","verified"
"L034","include","tail backtesting","2017","Nolde and Ziegel","Elicitability and Backtesting: Perspectives for Banking Regulation","Annals of Applied Statistics","10.1214/17-AOAS1041","Rigorous joint VaR/ES evaluation and backtesting principles","Banking-regulation context; translation to actuarial outputs must be explicit","verified"
"L035","include","tail backtesting","2022","Bayer and Dimitriadis","Regression-Based Expected Shortfall Backtesting","Journal of Financial Econometrics","10.1093/jjfinec/nbaa013","Operational ES backtesting methodology","Needs sufficiently long independent series, which current ARCCRAFT evidence lacks","verified"
"L036","include","tail backtesting","1995","Kupiec","Techniques for Verifying the Accuracy of Risk Measurement Models","Journal of Derivatives","10.3905/jod.1995.407942","Foundational unconditional coverage test for VaR exceedances","Low power in small samples and not sufficient for independence","verified"
"L037","include","tail backtesting","1998","Christoffersen","Evaluating Interval Forecasts","International Economic Review","10.2307/2527341","Conditional coverage framework combining frequency and independence of violations","Requires repeated temporal observations; not justified by one held-out year","verified"
"L038","include","risk measures","1999","Artzner, Delbaen, Eber and Heath","Coherent Measures of Risk","Mathematical Finance","10.1111/1467-9965.00068","Foundational axioms for coherent risk measures","Axiomatic properties do not establish empirical calibration","verified"
"L039","include","risk measures","2002","Acerbi and Tasche","On the Coherence of Expected Shortfall","Journal of Banking & Finance","10.1016/S0378-4266(02)00283-2","Formal basis for ES as a coherent tail-risk measure","Does not prescribe scenario-generation or validation design","verified"
"L040","include","extreme risk","2000","McNeil and Frey","Estimation of Tail-Related Risk Measures for Heteroscedastic Financial Time Series: An Extreme Value Approach","Journal of Empirical Finance","10.1016/S0927-5398(00)00012-8","Extreme-value modelling and tail-risk estimation benchmark","Financial returns setting and data demands differ from annual insurance aggregates","verified"
"L041","include","model discrepancy","2001","Kennedy and O'Hagan","Bayesian Calibration of Computer Models","Journal of the Royal Statistical Society Series B","10.1111/1467-9868.00294","Canonical distinction between calibration and model discrepancy","Strong priors/identifiability issues; not a turnkey validation method","verified"
"L042","include","uncertainty taxonomy","2009","Der Kiureghian and Ditlevsen","Aleatory or Epistemic? Does It Matter?","Structural Safety","10.1016/j.strusafe.2008.06.020","Clarifies aleatory/epistemic uncertainty and implications for modelling","Engineering framing; application to actuarial components must be reasoned","verified"
"L043","include","uncertainty taxonomy","2003","Walker et al.","Defining Uncertainty: A Conceptual Basis for Uncertainty Management in Model-Based Decision Support","Integrated Assessment","10.1076/iaij.4.1.5.16466","Structured uncertainty-location and level taxonomy","Conceptual framework rather than validation evidence","verified"
"L044","include","uncertainty taxonomy","2021","Hullermeier and Waegeman","Aleatoric and Epistemic Uncertainty in Machine Learning: An Introduction to Concepts and Methods","Machine Learning","10.1007/s10994-021-05946-3","Modern taxonomy relevant to predictive and model uncertainty","Machine-learning emphasis; not actuarial-specific","verified"
"L045","include","model risk","2015","Barrieu and Scandolo","Assessing Financial Model Risk","European Journal of Operational Research","10.1016/j.ejor.2014.10.032","Formal quantitative measures of model risk relative to model classes","Requires credible alternative-model set; not supplied by one engine specification","verified"
"L046","include","distribution shift","2024","Cauchois, Gupta, Ali and Duchi","Robust Validation: Confident Predictions Even When Distributions Shift","Journal of the American Statistical Association","10.1080/01621459.2023.2298037","Prediction-set validity under bounded distribution shift","Method assumptions and divergence-ball calibration may not fit annual motor data directly","verified"
"L047","include","actuarial model governance","2020","Actuarial Standards Board","ASOP No. 56: Modeling","Actuarial Standard of Practice","https://www.actuarialstandardsboard.org/asops/modeling-3/","Model testing, hold-out data, sensitivity, governance and limitation disclosure","US professional standard and not a statistical validation theorem","verified"
"L048","include","simulation validation","2013","Sargent","Verification and Validation of Simulation Models","Journal of Simulation","10.1057/jos.2012.20","Distinguishes conceptual validity, verification, operational validity and data validity","General simulation guidance; criteria must be instantiated for ARCCRAFT","verified"
"L049","include","simulation validation","2000","Kleijnen and Sargent","A Methodology for Fitting and Validating Metamodels in Simulation","European Journal of Operational Research","10.1016/S0377-2217(98)00392-0","Separates fitting from validation and ties validity to intended purpose","Metamodel focus rather than primary stochastic-world validation","verified"
"L050","include","simulation validation","2012","Eddy et al.","Model Transparency and Validation: A Report of the ISPOR-SMDM Modeling Good Research Practices Task Force-7","Value in Health","10.1016/j.jval.2012.04.012","Defines face, internal, cross, external and predictive validation and transparency","Health-economic modelling context","verified-title-doi-to-final-check"
"L051","include","sensitivity analysis","1991","Morris","Factorial Sampling Plans for Preliminary Computational Experiments","Technometrics","10.1080/00401706.1991.10484804","Efficient screening of influential inputs in computational models","Screening measure is not a full variance decomposition or causal attribution","verified"
"L052","include","sensitivity analysis","2010","Saltelli et al.","Variance Based Sensitivity Analysis of Model Output: Design and Estimator for the Total Sensitivity Index","Computer Physics Communications","10.1016/j.cpc.2009.09.018","Global sensitivity indices and interaction-aware attribution","Computational cost can be high for multi-period stochastic engines","verified"
"L053","include","sensitivity analysis","2008","Saltelli et al.","Global Sensitivity Analysis: The Primer","Wiley","10.1002/9780470725184","Established global-sensitivity concepts and experimental designs","Book-level methodological authority; not empirical ARCCRAFT evidence","verified"
"L054","include","model-risk governance","2026","Federal Reserve, OCC and FDIC","Supervisory Guidance on Model Risk Management","Official supervisory guidance","https://www.federalreserve.gov/frrs/guidance/supervisory-guidance-on-model-risk-management.htm","Current articulation of conceptual soundness, validation, monitoring, benchmarking and limitations","Banking guidance; use only for general model-risk principles","verified"
"L055","include","computational reproducibility","2011","Peng","Reproducible Research in Computational Science","Science","10.1126/science.1213847","Foundational reproducibility principles for computational work","Reproducibility is necessary but not empirical validity","verified"
"L056","include","computational reproducibility","2015","Stodden","Reproducing Statistical Results","Annual Review of Statistics and Its Application","10.1146/annurev-statistics-010814-020127","Reproducible statistical workflow, code and data expectations","Does not certify model correctness","verified"
"L057","include","computational reproducibility","2016","Stodden et al.","Enhancing Reproducibility for Computational Methods","Science","10.1126/science.aah6168","Policy and practice recommendations for code/data transparency","Short policy article rather than domain validation study","verified"
"L058","include","random streams","2002","L'Ecuyer et al.","An Object-Oriented Random-Number Package with Many Long Streams and Substreams","Operations Research","10.1287/opre.50.6.1073.358","Established rationale and construction for streams/substreams in simulation","Not specific to PCG64 and does not validate ARCCRAFT stream implementation","verified"
"L059","include","random generators","2014","O'Neill","PCG: A Family of Simple Fast Space-Efficient Statistically Good Algorithms for Random Number Generation","Technical report HMC-CS-2014-0905","https://www.pcg-random.org/paper.html","Primary technical description of PCG generator family","Technical report, not peer-reviewed actuarial evidence; NumPy implementation/version must be reported","verified"
"L060","include","nested simulation benchmark","2012","Bauer, Reuss and Singer","On the Calculation of the Solvency Capital Requirement Based on Nested Simulations","ASTIN Bulletin","10.2143/AST.42.2.2182805","Insurance-specific nested-simulation benchmark and computational-cost context","Solvency II life/market-risk emphasis","verified"
"L061","include","nested simulation benchmark","2011","Broadie, Du and Moallemi","Efficient Risk Estimation via Nested Sequential Simulation","Management Science","10.1287/mnsc.1110.1330","Established efficient nested-risk estimation comparator","Not insurance-specific and targets estimation efficiency, not world diagnostics","verified"
"L062","include","nested simulation benchmark","2015","Broadie, Du and Moallemi","Risk Estimation via Regression","Operations Research","10.1287/opre.2015.1419","Regression-based alternative to nested simulation","Different objective from procedural failure testing","verified"
"L063","include","nested simulation benchmark","2022","Feng and Li","Sample Recycling Method for Efficient Nested Monte Carlo Simulation","Insurance: Mathematics and Economics","10.1016/j.insmatheco.2022.04.012","Current actuarial computational-efficiency benchmark","Focuses on estimator reuse rather than scenario plausibility or traceability","verified"
"L064","include","nested simulation benchmark","2016","Floryszczak, Le Courtois and Majri","Inside the Solvency II Black Box: Net Asset Values and Solvency Capital Requirements with a Least-Squares Monte-Carlo Approach","Insurance: Mathematics and Economics","10.1016/j.insmatheco.2016.07.005","Insurance LSMC benchmark and validation/computation context","Life-insurance balance-sheet application","verified"
"L065","include","nested simulation benchmark","2021","Li and Feng","Nested Simulation in Portfolio Risk Measurement: A Review","Scandinavian Actuarial Journal","10.1080/03461238.2021.1881809","Review of nested simulation design and efficiency trade-offs","Portfolio-risk focus and no procedural failure-atlas concept","verified"
"L066","include","public motor benchmark","2024","Gildenhuys and Botha","A Comparison of Generalised Linear Modelling with Machine Learning Approaches for Predicting Loss Cost in Motor Insurance","Risks","10.3390/risks12040062","Public freMTPL2 frequency/severity comparison and evaluation conventions","Dataset differs from the local 2022-2024 portfolio and preprocessing must not be conflated","verified"
"L067","include","insurance model risk","2017","Aggarwal et al.","Model Risk: Illuminating the Black Box","British Actuarial Journal","https://www.cambridge.org/core/journals/british-actuarial-journal/article/model-risk-illuminating-the-black-box/FD2FD9F9DD86CCB611B4ECEF1421A7AA","Actuarial discussion of model risk, sensitivity and reverse-sensitivity testing","Working-party synthesis; individual recommendations have different evidential strength","verified-title-url"
